"desc_archivo","nro_veces",,,,
,,,,,
CERTIFICACION PRESUPUESTARIA Y PAC,67,,,,
,,,,,
ACTA DE DECLARATORIA DESIERTO,66,,,,
,,,,,
RESOLUCION DE DECLARAR DESIERTO,66,,,,
,,,,,
DECLARAR DESIERTO,65,,,,
,,,,,
ACTA PREGUNTAS Y RESPUESTAS,65,,,,
,,,,,
ACTA DE DECLARAR DESIERTO,64,,,,
,,,,,
CERTIFICACION DE FONDOS,64,,,,
,,,,,
oferta,64,,,,
,,,,,
INICIO DE PROCESO,64,,,,
,,,,,
ACTA DE CONVALIDACI�N DE ERRORES,63,,,,
,,,,,
Resolucion declaratoria desierto,63,,,,
,,,,,
ESTUDIO PREVIO,62,,,,
,,,,,
OFERTA 3,62,,,,
,,,,,
NECESIDAD,62,,,,
,,,,,
ACTA DECLARACION DESIERTO,61,,,,
,,,,,
INFORME RESULTADOS,61,,,,
,,,,,
ANEXO ESTUDIO,61,,,,
,,,,,
INFORME DE LA COMISION,61,,,,
,,,,,
AUTORIZACION DE INICIO DE PROCESO,61,,,,
,,,,,
CERT PRESUPUESTARIA,61,,,,
,,,,,
Acta que se declara desierta,60,,,,
,,,,,
declaratoria desierto,60,,,,
,,,,,
declaratoria de desierto,60,,,,
,,,,,
PARTIDAS CONSOLIDADAS,60,,,,
,,,,,
SOLICITUD DE INICIO,60,,,,
,,,,,
CERT PAC,59,,,,
,,,,,
ESTUDIO ECONOMICO,59,,,,
,,,,,
AUTORIZACION,59,,,,
,,,,,
EXPEDIENTE PARTE 2,59,,,,
,,,,,
AVAL,59,,,,
,,,,,
Resolucion de declaratoria de desierto,58,,,,
,,,,,
Acta de Apertura de Ofertas,57,,,,
,,,,,
OFERTA 002,57,,,,
,,,,,
Acta de apertura de ofertas,57,,,,
,,,,,
HOJA DE RUTA,57,,,,
,,,,,
EXPEDIENTE PARTE 1,57,,,,
,,,,,
AUTORIZACION INICIO DE PROCESO,56,,,,
,,,,,
IDENTIFICACION DE NECESIDAD,56,,,,
,,,,,
Antecedentes,56,,,,
,,,,,
Declaratoria Desierto,56,,,,
,,,,,
ESTUDIO DE PRESUPUESTO REFERENCIAL,56,,,,
,,,,,
DECLARATORIA DE PROCEDIMIENTO DESIERTO,56,,,,
,,,,,
RECOMENDACION DESIERTO,56,,,,
,,,,,
STOCK BODEGA,56,,,,
,,,,,
RESOLUCION REFORMA PAC,55,,,,
,,,,,
VERIFICACION CATALOGO ELECTRONICO,55,,,,
,,,,,
PRESUPUESTO,54,,,,
,,,,,
APERTURA DE OFERTAS,54,,,,
,,,,,
Acta de Calificaci�n,53,,,,
,,,,,
DOCUMENTOS DECLARAR DESIERTO,53,,,,
,,,,,
CERTIFICACIONES,53,,,,
,,,,,
INFORME JURIDICO,53,,,,
,,,,,
INFORME DE EVALUACION DE OFERTAS,53,,,,
,,,,,
INFORME DE VIABILIDAD,53,,,,
,,,,,
RESOLUCION ADMINISTRATIVA DESIERTO,53,,,,
,,,,,
RESOLUCION DE DELEGACION,52,,,,
,,,,,
CALCULO REFERENCIAL,52,,,,
,,,,,
ACTA DE CIERRE DE RECEPCION DE OFERTAS,52,,,,
,,,,,
Acta,52,,,,
,,,,,
ETAPA PRECONTRACTUAL,52,,,,
,,,,,
Acta de apertura,51,,,,
,,,,,
CERTIFICACION DEL PAC,51,,,,
,,,,,
RESOLUCION DECLARATORIO DESIERTO,51,,,,
,,,,,
RESOLUCION DE ADJUDICACION,51,,,,
,,,,,
PLIEGOS,50,,,,
,,,,,
INFORME DE COMISION TECNICA,50,,,,
,,,,,
INFORME CALIFICACION,50,,,,
,,,,,
ACTA 4,50,,,,
,,,,,
FICHA TECNICA,50,,,,
,,,,,
ACTA 2 APERTURA DE OFERTAS,49,,,,
,,,,,
"ACTA DE PREGUNTAS, RESPUESTAS Y ACLARACIONES",49,,,
,,,,,
ACTA CONVALIDACION,49,,,,
,,,,,
OFERTA INDUSTRIPROTEC,49,,,,
,,,,,
ESTUDIO PRESUPUESTO REFERENCIAL,49,,,,
,,,,,
INICIO PROCESO,49,,,,
,,,,,
OFERTA PAREDES,49,,,,
,,,,,
POR RESOLUSION NUMERO DA3LT-002-2010 DE LA DIRECCI�N,49,,,,
,,,,,
RECEPCION DE OFERTAS,48,,,,
,,,,,
INFORME COMISION,48,,,,
,,,,,
EXPEDIENTE PARTE 3,48,,,,
,,,,,
INFORME MOTIVADO,48,,,,
,,,,,
ACTA CONVALIDACION DE ERRORES,48,,,,
,,,,,
DESIGNACION DE SECRETARIO,48,,,,
,,,,,
ESTUDIO DE MERCADO- PRECIO REFERENCIAL,47,,,,
,,,,,
AUTORIZACION DESIERTO,47,,,,
,,,,,
INFORME DE RECOMENDACI�N DE DESIERTO,47,,,,
,,,,,
COTIZACION 2,47,,,,
,,,,,
CATALOGO ELECTRONICO,47,,,,
,,,,,
ACTA PREGUNTAS RESPUESTAS Y ACLARACIONES,47,,,,
,,,,,
INFORME PRESUPUESTO REFERENCIAL,46,,,,
,,,,,
INFORME DE LA COMISION TECNICA,46,,,,
,,,,,
Acta de calificaci�n,46,,,,
,,,,,
CRITERIO JURIDICO,46,,,,
,,,,,
CONSOLIDACION DE PARTIDAS,46,,,,
,,,,,
ACTA DECLARACION DESIERTA,46,,,,
,,,,,
RESOLUCI�N DESIERTA,46,,,,
,,,,,
OFICIO DESIERTO,46,,,,
,,,,,
PARTE DE LA OFERTA,46,,,,
,,,,,
Resoluci�n declaratoria desierto,46,,,,
,,,,,
SOLICITUD DE CONTRATACION,45,,,,
,,,,,
VERIFICACION DE CATALOGO,45,,,,
,,,,,
RESOLUCI�N DE DESIERTO Y ARCHIVO,45,,,,
,,,,,
VERIFICACION CATALOGO,45,,,,
,,,,,
PLIEGO PDF,45,,,,
,,,,,
resolucion declaratoria desierto,45,,,,
,,,,,
ACTA CIERRE RECEPCION DE OFERTAS,45,,,,
,,,,,
DESIERTA,45,,,,
,,,,,
OFERTA 003,45,,,,
,,,,,
IDENTIFICACION NECESIDAD,44,,,,
,,,,,
INFORME DE DETERMINACION DEL PRESUPUESTO REFERENCIAL,44,,,,
,,,,,
AUTORIZACION INICIO,44,,,,
,,,,,
RECOMENDACION DESIERTO Y ARCHIVO,44,,,,
,,,,,
OFERTA TOTAL TEK S.A.,44,,,,
,,,,,
SUGERENCIA DESIERTO,43,,,,
,,,,,
RESOLUCION DE DESIERTA,43,,,,
,,,,,
CERTIFICADO POA,43,,,,
,,,,,
CALIFICACION,43,,,,
,,,,,
INFORME DECLARATORIA DE DESIERTO,42,,,,
,,,,,
COTIZACION 1,42,,,,
,,,,,
ANEXO 1,42,,,,
,,,,,
CERTIFICACION PLURIANUAL,42,,,,
,,,,,
DESIGNACION DE SECRETARIA,42,,,,
,,,,,
Acta Desierto,42,,,,
,,,,,
ACTA DE RECEPCI�N DE OFERTAS,42,,,,
,,,,,
acta de calificacion,42,,,,
,,,,,
RESOLUCION 002,42,,,,
,,,,,
RESOLUCION ORDENADOR GASTO,41,,,,
,,,,,
RESOLUCION MODIFICATORIA,41,,,,
,,,,,
Acta de Desierto,41,,,,
,,,,,
informe,41,,,,
,,,,,
INFORME DE EVALUACION,41,,,,
,,,,,
ESTUDIO DEL PRESUPUESTO REFERENCIAL,41,,,,
,,,,,
AUTORIZACION DE DESIERTO,41,,,,
,,,,,
acta desierta,41,,,,
,,,,,
INFORME T�CNICO,41,,,,
,,,,,
ESTUDIO TECNICO,41,,,,
,,,,,
DELEGACI�N AB ESTRADA,41,,,,
,,,,,
ANEXOS EDM,40,,,,
,,,,,
ACTA 001,40,,,,
,,,,,
CERTIFICACION DE DISPONIBILIDAD PRESUPUESTARIA,40,,,,
,,,,,
DELEGACI�N DIEGO JALIL,40,,,,
,,,,,
ACTA APERTURA DE SOBRES,40,,,,
,,,,,
RESOLUCION DE APROBACION DE PLIEGO,40,,,,
,,,,,
OFICIO DE REQUERIMIENTO,40,,,,
,,,,,
RESOLUCION DE REFORMA AL PAC,39,,,,
,,,,,
RESOLUCION DECLARATORIA DE PROCEDIMIENTO DESIERTO,39,,,,
,,,,,
Resoluci�n de Declaraci�n de Desierto,39,,,,
,,,,,
ACTA 5,39,,,,
,,,,,
EXPEDIENTE 2,38,,,,
,,,,,
INFORME NECESIDAD,38,,,,
,,,,,
Informe de necesidad,38,,,,
,,,,,
COTIZACION,38,,,,
,,,,,
ACTA DE DECLARATORIA DESIERTA,38,,,,
,,,,,
RESOLUCION DECLARADO DESIERTO,38,,,,
,,,,,
OFERTA POTENCIADO,37,,,,
,,,,,
RESOLUCION DE APROBACION DE PLIEGOS,37,,,,
,,,,,
SOLICITUD DE INICIO DE PROCESO,37,,,,
,,,,,
RESOLUCION CIERRE DE PROCESOS,37,,,,
,,,,,
Acta de Declaracion de Desiertos,37,,,,
,,,,,
Informe,37,,,,
,,,,,
ESTUDIO_MERCADO,37,,,,
,,,,,
DESIGNACION DELEGADO,36,,,,
,,,,,
ESTUDIO DE MERCADO 2,36,,,,
,,,,,
acta de apertura,36,,,,
,,,,,
ESTUDIO DE MERCADO 1,36,,,,
,,,,,
Declaratoria desierto,36,,,,
,,,,,
EXPEDIENTE 1,36,,,,
,,,,,
CHECK LIST,36,,,,
,,,,,
INFORME DE RECOMENDACION DE DECLARATORIA DE DESIERTO,36,,,,
,,,,,
SOLICITUD DE DESIERTO,36,,,,
,,,,,
RESOLUCI�N DECLARACI�N DESIERTO,36,,,,
,,,,,
RESOLUCION DE DECLARACION DESIERTA,36,,,,
,,,,,
Requerimiento,36,,,,
,,,,,
T�RMINOS DE REFERENCIA,36,,,,
,,,,,
UNICA OFERTA,35,,,,
,,,,,
resoluci�n,35,,,,
,,,,,
RESOLUCION DE DECLARATORIA DE PROCESO DESIERTO,35,,,,
,,,,,
SOLICITUD,35,,,,
,,,,,
resolucion desierta,35,,,,
,,,,,
RESOLUCI�N PROCESO DESIERTO,35,,,,
,,,,,
RESOLUCI�N DE PROCESO DESIERTO,35,,,,
,,,,,
EXPEDIENTE,35,,,,
,,,,,
CERTIFICACION PAP,35,,,,
,,,,,
EXPEDIENTE 3,35,,,,
,,,,,
INFORME PARA DESIERTO,35,,,,
,,,,,
MEMORANDOS,34,,,,
,,,,,
CERTIFICACION_PRESUPUESTARIA,34,,,,
,,,,,
DECLARATORIA DE PROCESO DESIERTO,34,,,,
,,,,,
ACTA 6,34,,,,
,,,,,
OFERTA FRANKLIN ROJAS,34,,,,
,,,,,
EXPEDIENTE PARTE 4,34,,,,
,,,,,
resoluci�n de desierto,34,,,,
,,,,,
Resoluci�n Declaratoria de Desierto,34,,,,
,,,,,
Resolucion Declaratoria de Desierto,33,,,,
,,,,,
RECOMENDACION DE DESIERTO Y REAPERTURA,33,,,,
,,,,,
RESOLUCION-DESIERTO,33,,,,
,,,,,
ARCHIVO DE SOPORTE,33,,,,
,,,,,
DOCUMENTO DECLARAR DESIERTO,33,,,,
,,,,,
DECLARACI�N DE DESIERTO,33,,,,
,,,,,
INFORME FINANCIERO,33,,,,
,,,,,
ACTA DE DECLARACION DESIERTA,33,,,,
,,,,,
CERTIFICADO CATALOGO ELECTRONICO,33,,,,
,,,,,
ANTECEDENTES,33,,,,
,,,,,
ACTA DECLARANDO DESIERTO,32,,,,
,,,,,
INVESTIGACION DE MERCADO,32,,,,
,,,,,
ACTA DECLARATORIA DESIERTA,32,,,,
,,,,,
ACTA DE APERTURA Y CONVALIDACION DE ERRORES,32,,,,
,,,,,
ACTA DE APERTURA Y CONVALIDACION,32,,,,
,,,,,
CERTIFICACION DE CATALOGO ELECTRONICO,32,,,,
,,,,,
ACTA DE COMITE,32,,,,
,,,,,
ACTA 1 PREGUNTAS RESPUESTAS Y ACLARACIONES,32,,,,
,,,,,
Acta desierto,32,,,,
,,,,,
DESIGNACION SECRETARIA,32,,,,
,,,,,
SOLICITUD DESIERTO,32,,,,
,,,,,
RESOLUCION DECLARATORIA DE PROCESO DESIERTO,32,,,,
,,,,,
RECOMENDACION DESIERTO Y REAPERTURA,32,,,,
,,,,,
INFORME DE DECLARATORIA DESIERTO,31,,,,
,,,,,
INFORME DE DETERMINACION DE PRESUPUESTO REFERENCIAL,31,,,,
,,,,,
AUTORIZADOR DE GASTO,31,,,,
,,,,,
NOTIFICACION COMISION TECNICA,31,,,,
,,,,,
INFORME LEGAL,31,,,,
,,,,,
ACTA 7,31,,,,
,,,,,
DOCUMENTO,31,,,,
,,,,,
informe de recomendacion,30,,,,
,,,,,
AUTORIZACION GASTO,30,,,,
,,,,,
ESTUDIO DE MERCADO PARTE 2,30,,,,
,,,,,
ACTA 8,30,,,,
,,,,,
DOCUMENTACION GENERAL DEL PROCESO,30,,,,
,,,,,
ACTA RECEPCION DE OFERTAS,30,,,,
,,,,,
COTIZACION 3,30,,,,
,,,,,
CONSOLIDACI�N DE RESERVAS,30,,,,
,,,,,
RESOLUCION DE DECLARACI�N DE DESIERTO,30,,,,
,,,,,
SUGERENCIA DE DESIERTO Y ARCHIVO,30,,,,
,,,,,
resolucion de declaratoria de desierto,30,,,,
,,,,,
RESOLUCION DE PROCEDIMIENTO DESIERTO,29,,,,
,,,,,
RESOLUCION DESIGNACION CT,29,,,,
,,,,,
INFORME PRESUPUESTO,29,,,,
,,,,,
Acta de Apertura,29,,,,
,,,,,
ACTA 002 APERTURA DE OFERTAS,29,,,,
,,,,,
ACTA DESIGNACION,29,,,,
,,,,,
ACTAS,29,,,,
,,,,,
CDP,29,,,,
,,,,,
ACTA PARA DECLARAR DESIERTO,29,,,,
,,,,,
ANEXO 2,29,,,,
,,,,,
EXPEDIENTE 4,29,,,,
,,,,,
COTIZACIONES,29,,,,
,,,,,
ANEXOS,28,,,,
,,,,,
INFORME DE CALCULO,28,,,,
,,,,,
ACTA RECEPCION OFERTAS,28,,,,
,,,,,
INFORME DE JUSTIFICACION DE NECESIDAD,28,,,,
,,,,,
CATE,28,,,,
,,,,,
RESOLUCION DECLARA DESIERTO,28,,,,
,,,,,
RESOLUCION DE DECLARATORIA DE DESIERTO Y ARCHIVO,28,,,,
,,,,,
pac,28,,,,
,,,,,
VALIDACION FIRMAS,28,,,,
,,,,,
RESPUESTA SERCOP,28,,,,
,,,,,
PLIEGO EN USHAY PDF,27,,,,
,,,,,
Resolucion Desierta,27,,,,
,,,,,
RESOLUCI�N DE DECLARATORIA DE PROCESO DESIERTO,27,,,,
,,,,,
RESOLUCI�N DE DECLARATORIA DE PROCEDIMIENTO DESIERTO,27,,,,
,,,,,
PAPP,27,,,,
,,,,,
VERIFICACION DE CATALOGO ELECTRONICO,27,,,,
,,,,,
Informe de recomendaci�n,27,,,,
,,,,,
certificacion,27,,,,
,,,,,
OFERTA ERAZO ESPINOZA WAGNER PATRICIO,27,,,,
,,,,,
INFORME DELEGADO,27,,,,
,,,,,
Certificaci�n POA,27,,,,
,,,,,
ACTA 002,27,,,,
,,,,,
acta de declarar desierto,27,,,,
,,,,,
CUADRO EVALUACION,27,,,,
,,,,,
DOCUMENTOS DESIERTO,27,,,,
,,,,,
Acta de adjudicaci�n,27,,,,
,,,,,
INFORME COMISI�N T�CNICA,27,,,,
,,,,,
OFERTA 4,27,,,,
,,,,,
OFERTA 5,27,,,,
,,,,,
FICHA DE CALIFICACION,27,,,,
,,,,,
DESIGNACION DE COMISION TECNICA,27,,,,
,,,,,
ESTUDIO DE MERCADO PARTE 1,26,,,,
