"word","ndoc","nentry",
o,366,368,si
,,,si
"2019",352,353,si
,,,si
"8",352,352,si
,,,si
con,343,345,si
,,,si
secretaria,339,339,si
,,,si
res,335,336,si
,,,si
secretario,334,334,si
,,,si
"10",332,332,si
,,,si
cancelacion,326,326,si
,,,si
-2019,317,326,si
,,,si
legal,319,320,si
,,,si
precontractu,309,309,si
,,,si
convalidaci�n,308,308,si
,,,si
alcanc,306,306,si
,,,si
da,297,298,si
,,,si
papp,296,296,si
,,,si
revis,293,293,si
,,,si
resol,293,293,si
,,,si
negociacion,292,292,si
,,,si
completo,291,291,si
,,,si
tdr,290,290,si
,,,si
declaratorio,289,289,si
,,,si
verificaci�n,285,285,si
,,,si
pedido,274,274,si
,,,si
bien,273,273,si
,,,si
ruc,273,273,si
,,,si
-2018,259,271,si
,,,si
declarando,269,269,si
,,,si
general,262,263,si
,,,si
mem,258,262,si
,,,si
autoridad,260,260,si
,,,si
-2010,257,258,si
,,,si
ep,250,256,si
,,,si
"12",256,256,si
,,,si
rup,253,253,si
,,,si
signed-sign,251,253,si
,,,si
petro,250,252,si
,,,si
proyecto,250,250,si
,,,si
suspens,248,248,si
,,,si
"9",244,245,si
,,,si
"11",244,245,si
,,,si
precio,243,243,si
,,,si
juridico,242,242,si
,,,si
levantamiento,239,239,si
,,,si
comparativo,239,239,si
,,,si
gg,238,238,si
,,,si
"14",235,235,si
,,,si
-2,231,235,si
,,,si
"29",235,235,si
,,,si
adquisicion,234,234,si
,,,si
n,232,232,si
,,,si
sugerencia,225,225,si
,,,si
htmc,222,222,si
,,,si
recepci�n,218,218,si
,,,si
cambio,217,218,si
,,,si
-21,209,216,si
,,,si
adjudicacion,215,215,si
,,,si
"004",213,214,si
,,,si
convocatoria,214,214,si
,,,si
decierto,214,214,si
,,,si
delegaci�n,210,210,si
,,,si
sumilla,209,209,si
,,,si
documentacion,208,208,si
,,,si
electr�nico,208,208,si
,,,si
"02",206,207,si
,,,si
cronograma,207,207,si
,,,si
"01",206,207,si
,,,si
"15",206,206,si
,,,si
"13",203,203,si
,,,si
adm,203,203,si
,,,si
man,202,202,si
,,,si
declara,200,201,si
,,,si
fondo,201,201,si
,,,si
reclamo,201,201,si
,,,si
cat�logo,200,200,si
,,,si
maxima,199,199,si
,,,si
motivada,196,196,si
,,,si
existencia,195,195,si
,,,si
designaci�n,194,194,si
,,,si
control,193,193,si
,,,si
antecedent,192,192,si
,,,si
sie-htmc,188,188,si
,,,si
solicitando,188,188,si
,,,si
servicio,187,187,si
,,,si
analisi,186,186,si
,,,si
constancia,184,184,si
,,,si
-2017,179,184,si
,,,si
"2018",183,184,si
,,,si
consolidacion,183,183,si
,,,si
habilitacion,183,183,si
,,,si
ct,182,182,si
,,,si
presupuestario,182,182,si
,,,si
t�cnico,180,181,si
,,,si
epmmop,180,180,si
,,,si
compromiso,179,179,si
,,,si
"18",178,178,si
,,,si
-20,167,178,si
,,,si
plurianu,178,178,si
,,,si
sf,177,177,si
,,,si
"24",176,176,si
,,,si
-22,174,175,si
,,,si
"005",174,175,si
,,,si
soce,175,175,si
,,,si
autorizado,173,173,si
,,,si
"16",172,172,si
,,,si
dsp,170,170,si
,,,si
mintel,165,170,si
,,,si
fase,167,167,si
,,,si
-2009,163,165,si
,,,si
economico,165,165,si
,,,si
"17",164,164,si
,,,si
puja,164,164,si
,,,si
vario,164,164,si
,,,si
que,163,164,si
,,,si
declarado,163,163,si
,,,si
cbdmq,160,162,si
,,,si
celec,158,161,si
,,,si
requirent,160,161,si
,,,si
cci,160,161,si
,,,si
equipo,160,160,si
,,,si
iva,159,160,si
,,,si
"20",159,159,si
,,,si
dcp,157,158,si
,,,si
financiera,158,158,si
,,,si
epp,155,156,si
,,,si
viabilidad,155,155,si
,,,si
accion,154,154,si
,,,si
"22",152,153,si
,,,si
"21",152,152,si
,,,si
registro,151,151,si
,,,si
area,150,150,si
,,,si
firmado,146,150,si
,,,si
se,150,150,si
,,,si
resumen,148,148,si
,,,si
amep,146,148,si
,,,si
"19",146,146,si
,,,si
egu,145,145,si
,,,si
elaboracion,145,145,si
,,,si
electronica,144,144,si
,,,si
sercop-dsp,142,142,si
,,,si
doc,140,140,si
,,,si
envio,138,139,si
,,,si
"31",138,138,si
,,,si
sa,138,138,si
,,,si
criterio,136,136,si
,,,si
mlg,134,134,si
,,,si
respons,134,134,si
,,,si
cumpl,68,133,si
,,,si
captura,132,132,si
,,,si
comit,131,131,si
,,,si
administrador,130,130,si
,,,si
presentacion,129,129,si
,,,si
msp,125,127,si
,,,si
consolidada,126,126,si
,,,si
portal,126,126,si
,,,si
subasta,126,126,si
,,,si
ab,126,126,si
,,,si
compress,125,125,si
,,,si
"2017",124,125,si
,,,si
apoyo,125,125,si
,,,si
print,124,124,si
,,,si
disposicion,123,123,si
,,,si
check,123,123,si
,,,si
signed-signed-sign,122,122,si
,,,si
"03",118,122,si
,,,si
gerencia,122,122,si
,,,si
hecam,121,121,si
,,,si
evaluaci�n,120,121,si
,,,si
busqueda,121,121,si
,,,si
consulta,120,120,si
,,,si
notificaci�n,120,120,si
,,,si
condicion,120,120,si
,,,si
contrataci�n,119,119,si
,,,si
desarrollo,119,119,si
,,,si
"35",118,118,si
,,,si
sii,118,118,si
,,,si
cz5,117,117,si
,,,si
financiero,117,117,si
,,,si
habilitado,117,117,si
,,,si
mantenimiento,116,116,si
,,,si
resolus,116,116,si
,,,si
publica,116,116,si
,,,si
publicacion,115,115,si
,,,si
espol,113,113,si
,,,si
list,113,113,si
,,,si
conformacion,112,112,si
,,,si
re,112,112,si
,,,si
gye,109,111,si
,,,si
ordenador,111,111,si
,,,si
"04",109,110,si
,,,si
pantalla,110,110,si
,,,si
motivado,109,109,si
,,,si
sie-hecam,109,109,si
,,,si
valor,109,109,si
,,,si
aprobaci�n,108,109,si
,,,si
-11,107,108,si
,,,si
descargo,107,108,si
,,,si
inf,107,108,si
,,,si
orden,108,108,si
,,,si
informando,108,108,si
,,,si
observacion,107,107,si
,,,si
certif,107,107,si
,,,si
recibo,105,105,si
,,,si
sercop-cz5,105,105,si
,,,si
-2,104,104,si
,,,si
"006",103,104,si
,,,si
-3,104,104,si
,,,si
los,102,103,si
,,,si
medico,103,103,si
,,,si
restringido,103,103,si
,,,si
-19,103,103,si
,,,si
presup,102,102,si
,,,si
edm,101,101,si
,,,si
item,101,101,si
,,,si
comercial,101,101,si
,,,si
medicamento,101,101,si
,,,si
person,101,101,si
,,,si
accionista,100,100,si
,,,si
-18,100,100,si
,,,si
servidor,99,99,si
,,,si
"012",99,99,si
,,,si
linea,99,99,si
,,,si
adjudicaci�n,98,98,si
,,,si
cdp,97,97,si
,,,si
s.a,97,97,si
,,,si
c,97,97,si
,,,si
socio,97,97,si
,,,si
adq,96,96,si
,,,si
inici,96,96,si
,,,si
carta,96,96,si
,,,si
respaldo,95,95,si
,,,si
suspensi�n,95,95,si
,,,si
d,95,95,si
,,,si
rivera,95,95,si
,,,si
ri,94,94,si
,,,si
mejia,94,94,si
,,,si
estrada,93,93,si
,,,si
"30",93,93,si
,,,si
"26",93,93,si
,,,si
hna,93,93,si
,,,si
pertinencia,92,92,si
,,,si
"25",92,92,si
,,,si
t�rmino,92,92,si
,,,si
seguridad,91,91,si
,,,si
"27",91,91,si
,,,si
soport,91,91,si
,,,si
dispositivo,91,91,si
,,,si
"05",91,91,si
,,,si
todo,90,91,si
,,,si
aviso,90,90,si
,,,si
comerci,89,89,si
,,,si
insumo,89,89,si
,,,si
signed-signed-signed-sign,89,89,si
,,,si
escaneado,89,89,si
,,,si
actualizacion,88,88,si
,,,si
fe,87,87,si
,,,si
direccion,86,86,si
,,,si
-2012,79,86,si
,,,si
total,86,86,si
,,,si
setegisp,86,86,si
,,,si
pre,85,86,si
,,,si
delegada,86,86,si
,,,si
jacp,85,85,si
,,,si
-16,84,84,si
,,,si
quipux,84,84,si
,,,si
modificatoria,84,84,si
,,,si
"33",84,84,si
,,,si
ope,83,83,si
,,,si
oferta1,83,83,si
,,,si
cge,82,82,si
,,,si
sin,82,82,si
,,,si
determinaci�n,82,82,si
,,,si
investigacion,81,81,si
,,,si
-4,79,81,si
,,,si
carpeta,81,81,si
,,,si
remit,81,81,si
,,,si
cgaf,81,81,si
,,,si
emis,81,81,si
,,,si
iess-hcam-gg,81,81,si
,,,si
desierto.pdf,81,81,si
,,,si
et,80,80,si
,,,si
zor,80,80,si
,,,si
declatoria,80,80,si
,,,si
ec,80,80,si
,,,si
ii,80,80,si
,,,si
"011",80,80,si
,,,si
"017",80,80,si
,,,si
las,75,79,si
,,,si
alquil,79,79,si
,,,si
"009",78,78,si
,,,si
-2015,78,78,si
,,,si
"013",78,78,si
,,,si
"2009",77,78,si
,,,si
experiencia,77,77,si
,,,si
"23",77,77,si
,,,si
ofc,77,77,si
,,,si
-5,77,77,si
,,,si
c�lculo,77,77,si
,,,si
consolidaci�n,76,76,si
,,,si
plan,76,76,si
,,,si
remitiendo,76,76,si
,,,si
dd,76,76,si
,,,si
"010",74,75,si
,,,si
informacion,75,75,si
,,,si
b,75,75,si
,,,si
"07",71,75,si
,,,si
propuesta,75,75,si
,,,si
inhabilidad,75,75,si
,,,si
f,74,74,si
,,,si
sii-mimg,74,74,si
,,,si
actualizado,74,74,si
,,,si
desierto-sign,74,74,si
,,,si
daf,74,74,si
,,,si
-3,72,73,si
,,,si
conocimiento,72,73,si
,,,si
r-sie-mimg,73,73,si
,,,si
"007",72,72,si
,,,si
matriz,72,72,si
,,,si
da3lt,72,72,si
,,,si
cotizaci�n,72,72,si
,,,si
ce,71,72,si
,,,si
dm,67,71,si
,,,si
errata,71,71,si
,,,si
vae,71,71,si
,,,si
uta,71,71,si
,,,si
sq,71,71,si
,,,si
siaemicro,71,71,si
,,,si
"06",70,70,si
,,,si
medicina,70,70,si
,,,si
president,70,70,si
,,,si
comunicacion,69,69,si
,,,si
gabriela,69,69,si
,,,si
em,69,69,si
,,,si
hjca,69,69,si
,,,si
negociaci�n,69,69,si
,,,si
lui,69,69,si
,,,si
maquinaria,69,69,si
,,,si
estado,68,68,si
,,,si
transport,68,68,si
,,,si
pe,68,68,si
,,,si
jur�dico,67,67,si
,,,si
-2013,65,67,si
,,,si
"38",67,67,si
,,,si
saldo,65,67,si
,,,si
an�lisi,67,67,si
,,,si
celegu,67,67,si
,,,si
ug,66,66,si
,,,si
monto,65,65,si
,,,si
producto,65,65,si
,,,si
-17,65,65,si
,,,si
sie-epp,64,65,si
,,,si
cis,65,65,si
,,,si
resoluci�n,65,65,si
,,,si
cancelaci�n,65,65,si
,,,si
-14,65,65,si
,,,si
cz6,65,65,si
,,,si
sol,63,64,si
,,,si
si,64,64,si
,,,si
relevant,64,64,si
,,,si
iess-hcam-jacp,64,64,si
,,,si
gpl,64,64,si
,,,si
-1,63,63,si
,,,si
"015",63,63,si
,,,si
revisi�n,63,63,si
,,,si
justificaci�n,63,63,si
,,,si
com,62,63,si
,,,si
igm,52,63,si
,,,si
"008",63,63,si
,,,si
subcomis,63,63,si
,,,si
"28",63,63,si
,,,si
distrito,63,63,si
,,,si
laboratorio,63,63,si
,,,si
hep,63,63,si
,,,si
abg,61,63,si
,,,si
-15,62,62,si
,,,si
-10,62,62,si
,,,si
sie-gpl,62,62,si
,,,si
maria,62,62,si
,,,si
validaci�n,61,62,si
,,,si
aut,62,62,si
,,,si
pres,61,61,si
,,,si
sie-hep,61,61,si
,,,si
sercop-cz6,61,61,si
,,,si
sie-uta,61,61,si
,,,si
reunion,60,60,si
,,,si
metodologia,60,60,si
,,,si
cgdt,60,60,si
,,,si
firmada,60,60,si
,,,si
zimbra,60,60,si
,,,si
gj,60,60,si
,,,si
gaddmq,60,60,si
,,,si
"026",59,59,si
,,,si
hmed,59,59,si
,,,si
"09",59,59,si
,,,si
iess-hcam-cgdt,59,59,si
,,,si
epr,59,59,si
,,,si
miembro,58,59,si
,,,si
hna-r,58,58,si
,,,si
sie-celegu,58,58,si
,,,si
perfil,58,58,si
,,,si
"016",58,58,si
,,,si
costo,58,58,si
,,,si
direcci�n,58,58,si
,,,si
factibilidad,58,58,si
,,,si
-9,57,58,si
,,,si
identificaci�n,57,57,si
,,,si
no-p,57,57,si
,,,si
material,57,57,si
,,,si
sic,57,57,si
,,,si
-65,57,57,si
,,,si
-2014,57,57,si
,,,si
farmacoterapia,57,57,si
,,,si
jalil,57,57,si
,,,si
memo-mimg-dcp,57,57,si
,,,si
"032",57,57,si
,,,si
numero,57,57,si
,,,si
sri,56,56,si
,,,si
grupo,56,56,si
,,,si
precompromiso,56,56,si
,,,si
aclaratoria,56,56,si
,,,si
"018",56,56,si
,,,si
mg,56,56,si
,,,si
administrativo,56,56,si
,,,si
"028",56,56,si
,,,si
sie-cbdmq,56,56,si
,,,si
unidad,56,56,si
,,,si
remis,55,55,si
,,,si
-2016,50,55,si
,,,si
nuevo,55,55,si
,,,si
contestacion,55,55,si
,,,si
inversa,55,55,si
,,,si
sie-re-hcam,55,55,si
,,,si
resolucio,55,55,si
,,,si
ecuador,55,55,si
,,,si
sistema,54,55,si
,,,si
insistencia,55,55,si
,,,si
"2016",52,55,si
,,,si
particular,54,54,si
,,,si
report,54,54,si
,,,si
consorcio,54,54,si
,,,si
garantia,54,54,si
,,,si
comprobant,54,54,si
,,,si
diego,54,54,si
,,,si
-64,54,54,si
,,,si
expresa,53,53,si
,,,si
resolcuion,53,53,si
,,,si
"020",53,53,si
,,,si
iess-hg-sf-da,53,53,si
,,,si
dia,53,53,si
,,,si
bce,53,53,si
,,,si
pag,52,52,si
,,,si
as1,52,52,si
,,,si
anual,52,52,si
,,,si
sie-as1,52,52,si
,,,si
pared,52,52,si
,,,si
fallido,52,52,si
,,,si
requisicion,52,52,si
,,,si
permiso,52,52,si
,,,si
eersa,52,52,si
,,,si
industriprotec,52,52,si
,,,si
mail,52,52,si
,,,si
"057",51,51,si
,,,si
convenio,51,51,si
,,,si
m�xima,51,51,si
,,,si
unica,51,51,si
,,,si
dos,50,51,si
,,,si
df,51,51,si
,,,si
issfa,51,51,si
,,,si
econ�mico,51,51,si
,,,si
"1.pdf",51,51,si
,,,si
ref,51,51,si
,,,si
gadmur,50,50,si
,,,si
cia,50,50,si
,,,si
p,50,50,si
,,,si
ccs,48,50,si
,,,si
"063",50,50,si
,,,si
suspencion,49,49,si
,,,si
modificacion,49,49,si
,,,si
factura,49,49,si
,,,si
director,49,49,si
,,,si
-1,49,49,si
,,,si
art,49,49,si
,,,si
produccion,49,49,si
,,,si
"021",49,49,si
,,,si
gsxxi,48,48,si
,,,si
calidad,48,48,si
,,,si
invitacion,43,48,si
,,,si
tic,48,48,si
,,,si
desiero,48,48,si
,,,si
celec-ep-egu,48,48,si
,,,si
dd-sie-epp,48,48,si
,,,si
-38,48,48,si
,,,si
"014",48,48,si
,,,si
detall,48,48,si
,,,si
revocatoria,46,47,si
,,,si
epn,47,47,si
,,,si
ue,46,47,si
,,,si
tec,47,47,si
,,,si
multipart,47,47,si
,,,si
repuesto,47,47,si
,,,si
-36,47,47,si
,,,si
presentada,47,47,si
,,,si
codigo,47,47,si
,,,si
recibida,47,47,si
,,,si
borrador,47,47,si
,,,si
novedad,47,47,si
,,,si
"022",46,46,si
,,,si
nota,46,46,si
,,,si
setegisp-cgaf-dia,46,46,si
,,,si
pronunciamiento,46,46,si
,,,si
-5,46,46,si
,,,si
-13,46,46,si
,,,si
electr�nica,46,46,si
,,,si
paracetamol,46,46,si
,,,si
"32",46,46,si
,,,si
determinar,46,46,si
,,,si
ofi,46,46,si
,,,si
-41,46,46,si
,,,si
jose,46,46,si
,,,si
-31,45,46,si
,,,si
gad,46,46,si
,,,si
integridad,46,46,si
,,,si
directora,45,45,si
,,,si
espol-r-ofc,45,45,si
,,,si
iess-hcam-cg,45,45,si
,,,si
cobertura,45,45,si
,,,si
deiserto,45,45,si
,,,si
tek,45,45,si
,,,si
ofertas-sign,45,45,si
,,,si
-2011,44,45,si
,,,si
iess-hg-man-cp,45,45,si
,,,si
nacion,44,44,si
,,,si
mfcp,44,44,si
,,,si
rodriguez,44,44,si
,,,si
vehiculo,44,44,si
,,,si
"137",44,44,si
,,,si
aria,44,44,si
,,,si
tipo,44,44,si
,,,si
prosein,44,44,si
,,,si
definicion,44,44,si
,,,si
-39,43,43,si
,,,si
"2.pdf",43,43,si
,,,si
ucp,43,43,si
,,,si
san,43,43,si
,,,si
futura,43,43,si
,,,si
-4,42,43,si
,,,si
dtom,43,43,si
,,,si
"030",43,43,si
,,,si
amep-dtom,43,43,si
,,,si
iess-hg-man-da,43,43,si
,,,si
ltda,43,43,si
,,,si
"050",42,42,si
,,,si
asignacion,42,42,si
,,,si
"052",41,42,si
,,,si
enviado,42,42,si
,,,si
descierto,42,42,si
,,,si
-40,42,42,si
,,,si
"045",42,42,si
,,,si
hay,42,42,si
,,,si
"019",41,41,si
,,,si
gtsi,41,41,si
,,,si
-6,41,41,si
,,,si
devolucion,41,41,si
,,,si
"34",41,41,si
,,,si
"2010",41,41,si
,,,si
herrera,40,40,si
,,,si
g,40,40,si
,,,si
iso,38,40,si
,,,si
"051",40,40,si
,,,si
actualizada,40,40,si
,,,si
cnel-gye-adm,40,40,si
,,,si
comunicado,40,40,si
,,,si
uce,40,40,si
,,,si
pigr,40,40,si
,,,si
"042",40,40,si
,,,si
motivacion,40,40,si
,,,si
traje,40,40,si
,,,si
alcald,40,40,si
,,,si
nueva,39,39,si
,,,si
acto,39,39,si
,,,si
petro-cci-zor,39,39,si
,,,si
hrz,39,39,si
,,,si
"031",39,39,si
,,,si
dc,39,39,si
,,,si
incidencia,39,39,si
,,,si
agua,39,39,si
,,,si
corp,39,39,si
,,,si
-30,39,39,si
,,,si
sie-gsxxi,39,39,si
,,,si
"072",38,38,si
,,,si
"08",38,38,si
,,,si
dgaf,38,38,si
,,,si
hdgdz,38,38,si
,,,si
epmap,38,38,si
,,,si
autorizador,38,38,si
,,,si
franklin,38,38,si
,,,si
-382,38,38,si
,,,si
"2da",38,38,si
,,,si
sesion,38,38,si
,,,si
anterior,38,38,si
,,,si
hospit,37,38,si
,,,si
eepgsa,37,37,si
,,,si
esp,37,37,si
,,,si
egu-r,37,37,si
,,,si
baja,37,37,si
,,,si
funcionamiento,37,37,si
,,,si
toner,37,37,si
,,,si
un,37,37,si
,,,si
bpadt,37,37,si
,,,si
lrs,37,37,si
,,,si
sie-eepgsa,37,37,si
,,,si
potenciado,37,37,si
,,,si
"043",34,37,si
,,,si
"40",36,36,si
,,,si
exp,36,36,si
,,,si
pablo,36,36,si
,,,si
liter,36,36,si
,,,si
"103",36,36,si
,,,si
"033",36,36,si
,,,si
cedula,36,36,si
,,,si
-2,36,36,si
,,,si
adjudicado,36,36,si
,,,si
"049",36,36,si
,,,si
documentaci�n,36,36,si
,,,si
roja,36,36,si
,,,si
"124",36,36,si
,,,si
ejecutivo,35,35,si
,,,si
"91",35,35,si
,,,si
glr,35,35,si
,,,si
"038",34,35,si
,,,si
sc,35,35,si
,,,si
"056",35,35,si
,,,si
dis,35,35,si
,,,si
quito,35,35,si
,,,si
nombramiento,35,35,si
,,,si
aplicacion,35,35,si
,,,si
sr,35,35,si
,,,si
a�o,35,35,si
,,,si
iess-hg-ri-da,35,35,si
,,,si
solut,35,35,si
,,,si
marzo,35,35,si
,,,si
"095",35,35,si
,,,si
segunda,33,34,si
,,,si
quimico,34,34,si
,,,si
iess-hg-ri-cp,34,34,si
,,,si
fecha,34,34,si
,,,si
planificacion,34,34,si
,,,si
adjudicatario,34,34,si
,,,si
"047",34,34,si
,,,si
prevista,34,34,si
,,,si
butaca,34,34,si
,,,si
suspendido,34,34,si
,,,si
codificacion,34,34,si
,,,si
gerent,34,34,si
,,,si
"140",34,34,si
,,,si
renta,34,34,si
,,,si
combust,34,34,si
,,,si
catalogado,34,34,si
,,,si
hr,34,34,si
,,,si
tdrs,34,34,si
,,,si
cga,34,34,si
,,,si
"061",33,33,si
,,,si
-9,33,33,si
,,,si
copia,29,33,si
,,,si
carlo,33,33,si
,,,si
mtto,33,33,si
,,,si
-7,33,33,si
,,,si
dg,33,33,si
,,,si
participant,33,33,si
,,,si
asistecom,33,33,si
,,,si
"037",33,33,si
,,,si
"36",33,33,si
,,,si
-12,33,33,si
,,,si
audiencia,33,33,si
,,,si
"027",33,33,si
,,,si
memorandum,33,33,si
,,,si
resolucion-desierto,33,33,si
,,,si
pn,33,33,si
,,,si
publicar,32,32,si
,,,si
toscano,32,32,si
,,,si
htd,30,32,si
,,,si
"054",32,32,si
,,,si
"046",32,32,si
,,,si
"041",32,32,si
,,,si
"036",32,32,si
,,,si
disierto,32,32,si
,,,si
uno,32,32,si
,,,si
"2012",32,32,si
,,,si
desieto,32,32,si
,,,si
lectosur,32,32,si
,,,si
cnb,32,32,si
,,,si
imi,32,32,si
,,,si
des,31,32,si
,,,si
denuncia,32,32,si
,,,si
formato,32,32,si
,,,si
rm,32,32,si
,,,si
alulema,32,32,si
,,,si
ingreso,32,32,si
,,,si
sanitario,32,32,si
,,,si
-34,32,32,si
,,,si
"37",32,32,si
,,,si
gaf,32,32,si
,,,si
ua,31,31,si
,,,si
efecto,31,31,si
,,,si
kit,31,31,si
,,,si
"43",31,31,si
,,,si
aj,30,31,si
,,,si
"198",31,31,si
,,,si
espinoza,29,31,si
,,,si
p1,31,31,si
,,,si
p2,31,31,si
,,,si
uso,31,31,si
,,,si
montero,31,31,si
,,,si
-1,31,31,si
,,,si
gestion,31,31,si
,,,si
razon,31,31,si
,,,si
preparatorio,31,31,si
,,,si
representacion,31,31,si
,,,si
cot,31,31,si
,,,si
uitey,31,31,si
,,,si
validez,31,31,si
,,,si
patricio,31,31,si
,,,si
"060",31,31,si
,,,si
"170",31,31,si
,,,si
cumplimiento,31,31,si
,,,si
est,30,30,si
,,,si
rep,30,30,si
,,,si
sdnpss,30,30,si
,,,si
suscripcion,30,30,si
,,,si
"096",30,30,si
,,,si
declar,30,30,si
,,,si
descalificacion,30,30,si
,,,si
tger,30,30,si
,,,si
dec,30,30,si
,,,si
consolidado,30,30,si
,,,si
"41",30,30,si
,,,si
erazo,30,30,si
,,,si
ferreteria,30,30,si
,,,si
dsh,29,30,si
,,,si
definitivo,30,30,si
,,,si
"024",30,30,si
,,,si
"500",30,30,si
,,,si
bioseguridad,30,30,si
,,,si
"025",30,30,si
,,,si
ok,30,30,si
,,,si
vez,30,30,si
,,,si
fallida,29,29,si
,,,si
vpn,29,29,si
,,,si
computadora,29,29,si
,,,si
calculadora,29,29,si
,,,si
junio,29,29,si
,,,si
"070",29,29,si
,,,si
kayconsystecsla,29,29,si
,,,si
"044",29,29,si
,,,si
"029",29,29,si
,,,si
"39",29,29,si
,,,si
sg,29,29,si
,,,si
"055",29,29,si
,,,si
"023",29,29,si
,,,si
varga,29,29,si
,,,si
